service,port,transport
microsan,20001,tcp
commtact-http,20002,tcp
commtact-https,20003,tcp
openwebnet,20005,tcp
ss-idi,20013,tcp
opendeploy,20014,tcp
nburn-id,20034,tcp
tmophl7mts,20046,tcp
mountd,20048,tcp
nfsrdma,20049,tcp
avesterra,20057,tcp
tolfab,20167,tcp
ipdtp-port,20202,tcp
ipulse-ics,20222,tcp
emwavemsg,20480,tcp
track,20670,tcp
crtech-nlm,20810,tcp
athand-mmp,20999,tcp
irtrans,21000,tcp
notezilla-lan,21010,tcp
trinket-agent,21212,tcp
cohesity-agent,21213,tcp
aigairserver,21221,tcp
xahaud,21337,tcp
rdm-tfs,21553,tcp
dfserver,21554,tcp
vofr-gateway,21590,tcp
tvpm,21800,tcp
sal,21801,tcp
webphone,21845,tcp
netspeak-is,21846,tcp
netspeak-cs,21847,tcp
netspeak-acd,21848,tcp
netspeak-cps,21849,tcp
snapenetio,22000,tcp
optocontrol,22001,tcp
optohost002,22002,tcp
optohost003,22003,tcp
optohost004,22004,tcp
optohost004,22005,tcp
dcap,22125,tcp
gsidcap,22128,tcp
easyengine,22222,tcp
wnn6,22273,tcp
cis,22305,tcp
showcockpit-net,22333,tcp
shrewd-control,22335,tcp
cis-secure,22343,tcp
wibukey,22347,tcp
codemeter,22350,tcp
codemeter-cmwan,22351,tcp
caldsoft-backup,22537,tcp
vocaltec-wconf,22555,tcp
talikaserver,22763,tcp
aws-brf,22800,tcp
brf-gw,22951,tcp
inovaport1,23000,tcp
inovaport2,23001,tcp
inovaport3,23002,tcp
inovaport4,23003,tcp
inovaport5,23004,tcp
inovaport6,23005,tcp
gntp,23053,tcp
5afe-dir,23294,tcp
elxmgmt,23333,tcp
novar-dbase,23400,tcp
novar-alarm,23401,tcp
novar-global,23402,tcp
aequus,23456,tcp
aequus-alt,23457,tcp
areaguard-neo,23546,tcp
med-ltp,24000,tcp
med-fsp-rx,24001,tcp
med-fsp-tx,24002,tcp
med-supp,24003,tcp
med-ovw,24004,tcp
med-ci,24005,tcp
med-net-svc,24006,tcp
filesphere,24242,tcp
vista-4gl,24249,tcp
ild,24321,tcp
vrmg-ip,24323,tcp
intel-rci,24386,tcp
tonidods,24465,tcp
binkp,24554,tcp
bilobit,24577,tcp
sdtvwcam,24666,tcp
canditv,24676,tcp
flashfiler,24677,tcp
proactivate,24678,tcp
tcc-http,24680,tcp
cslg,24754,tcp
find,24922,tcp
icl-twobase1,25000,tcp
icl-twobase2,25001,tcp
icl-twobase3,25002,tcp
icl-twobase4,25003,tcp
icl-twobase5,25004,tcp
icl-twobase6,25005,tcp
icl-twobase7,25006,tcp
icl-twobase8,25007,tcp
icl-twobase9,25008,tcp
icl-twobase10,25009,tcp
db2c-tls,25100,tcp
sauterdongle,25576,tcp
idtp,25604,tcp
vocaltec-hos,25793,tcp
tasp-net,25900,tcp
niobserver,25901,tcp
nilinkanalyst,25902,tcp
niprobe,25903,tcp
quake,26000,tcp
scscp,26133,tcp
wnn6-ds,26208,tcp
cockroach,26257,tcp
ezproxy,26260,tcp
ezmeeting,26261,tcp
k3software-svr,26262,tcp
k3software-cli,26263,tcp
exoline-tcp,26486,tcp
exoconfig,26487,tcp
exonet,26489,tcp
flex-lmadmin,27010,tcp
chlenix,27016,tcp
mongodb,27017,tcp
imagepump,27345,tcp
jesmsjc,27442,tcp
kopek-httphead,27504,tcp
ars-vista,27782,tcp
astrolink,27876,tcp
tw-auth-key,27999,tcp
nxlmd,28000,tcp
pqsp,28001,tcp
gruber-cashreg,28010,tcp
thor-engine,28080,tcp
voxelstorm,28200,tcp
siemensgsm,28240,tcp
bosswave,28589,tcp
saltd-licensing,29000,tcp
otmp,29167,tcp
bingbang,29999,tcp
ndmps,30000,tcp
pago-services1,30001,tcp
pago-services2,30002,tcp
amicon-fpsu-ra,30003,tcp
rwp,30100,tcp
kingdomsonline,30260,tcp
gs-realtime,30400,tcp
dilithium3,30939,tcp
ovobs,30999,tcp
ka-sddp,31016,tcp
autotrac-acp,31020,tcp
eldim,31337,tcp
pace-licensed,31400,tcp
xqosd,31416,tcp
tetrinet,31457,tcp
lm-mon,31620,tcp
dsx-monitor,31685,tcp
gamesmith-port,31765,tcp
iceedcp-tx,31948,tcp
iceedcp-rx,31949,tcp
iracinghelper,32034,tcp
t1distproc60,32249,tcp
plex,32400,tcp
apm-link,32483,tcp
sec-ntb-clnt,32635,tcp
DMExpress,32636,tcp
filenet-powsrm,32767,tcp
filenet-tms,32768,tcp
filenet-rpc,32769,tcp
filenet-nch,32770,tcp
filenet-rmi,32771,tcp
filenet-pa,32772,tcp
filenet-cm,32773,tcp
filenet-re,32774,tcp
filenet-pch,32775,tcp
filenet-peior,32776,tcp
filenet-obrok,32777,tcp
mlsn,32801,tcp
retp,32811,tcp
idmgratm,32896,tcp
wg-endpt-comms,33000,tcp
mysqlx,33060,tcp
aurora-balaena,33123,tcp
diamondport,33331,tcp
dgi-serv,33333,tcp
speedtrace,33334,tcp
traceroute,33434,tcp
snip-slave,33656,tcp
digilent-adept,33890,tcp
turbonote-2,34249,tcp
p-net-local,34378,tcp
p-net-remote,34379,tcp
dhanalakshmi,34567,tcp
profinet-rt,34962,tcp
profinet-rtm,34963,tcp
profinet-cm,34964,tcp
profinet-cm-sec,34965,tcp
ethercat,34980,tcp
heathview,35000,tcp
rt-viewer,35001,tcp
rt-sound,35002,tcp
rt-devicemapper,35003,tcp
rt-classmanager,35004,tcp
rt-labtracker,35005,tcp
rt-helper,35006,tcp
axio-disc,35100,tcp
kitim,35354,tcp
altova-lm,35355,tcp
guttersnex,35356,tcp
openstack-id,35357,tcp
allpeers,36001,tcp
febooti-aw,36524,tcp
observium-agent,36602,tcp
mapx,36700,tcp
kastenxpipe,36865,tcp
neckar,37475,tcp
gdrive-sync,37483,tcp
eftp,37601,tcp
unisys-eportal,37654,tcp
ivs-database,38000,tcp
ivs-insertion,38001,tcp
cresco-control,38002,tcp
galaxy7-data,38201,tcp
fairview,38202,tcp
agpolicy,38203,tcp
psqlmws,38638,tcp
sruth,38800,tcp
secrmmsafecopya,38865,tcp
vroa,39063,tcp
turbonote-1,39681,tcp
safetynetp,40000,tcp
sptx,40404,tcp
cscp,40841,tcp
csccredir,40842,tcp
csccfirewall,40843,tcp
fs-qos,41111,tcp
tentacle,41121,tcp
z-wave-s,41230,tcp
crestron-cip,41794,tcp
crestron-ctp,41795,tcp
crestron-cips,41796,tcp
crestron-ctps,41797,tcp
candp,42508,tcp
candrp,42509,tcp
caerpc,42510,tcp
curiosity,42999,tcp
recvr-rc,43000,tcp
reachout,43188,tcp
ndm-agent-port,43189,tcp
ip-provision,43190,tcp
noit-transport,43191,tcp
shaperai,43210,tcp
eq3-update,43439,tcp
ew-mgmt,43440,tcp
ciscocsdb,43441,tcp
z-wave-tunnel,44123,tcp
pmcd,44321,tcp
pmproxy,44322,tcp
pmwebapi,44323,tcp
cognex-dataman,44444,tcp
acronis-backup,44445,tcp
rbr-debug,44553,tcp
EtherNet-IP-2,44818,tcp
m3da,44900,tcp
asmp,45000,tcp
asmps,45001,tcp
rs-status,45002,tcp
synctest,45045,tcp
invision-ag,45054,tcp
witsnet,45185,tcp
cloudcheck,45514,tcp
eba,45678,tcp
dai-shell,45824,tcp
qdb2service,45825,tcp
ssr-servermgr,45966,tcp
inedo,46336,tcp
spremotetablet,46998,tcp
mediabox,46999,tcp
mbus,47000,tcp
winrm,47001,tcp
dbbrowse,47557,tcp
directplaysrvr,47624,tcp
ap,47806,tcp
bacnet,47808,tcp
nimcontroller,48000,tcp
nimspooler,48001,tcp
nimhub,48002,tcp
nimgtw,48003,tcp
nimbusdb,48004,tcp
nimbusdbctrl,48005,tcp
juka,48048,tcp
3gpp-cbsp,48049,tcp
weandsf,48050,tcp
isnetserv,48128,tcp
blp5,48129,tcp
com-bardac-dw,48556,tcp
iqobject,48619,tcp
robotraconteur,48653,tcp
matahari,49000,tcp
nusrp,49001,tcp
inspider,49150,tcp
tcpmux,1,udp
rje,5,udp
echo,7,udp
discard,9,udp
systat,11,udp
daytime,13,udp
qotd,17,udp
msp,18,udp
chargen,19,udp
ftp-data,20,udp
ftp,21,udp
ssh,22,udp
telnet,23,udp
smtp,25,udp
nsw-fe,27,udp
msg-icp,29,udp
msg-auth,31,udp
dsp,33,udp
time,37,udp
rap,38,udp
rlp,39,udp
graphics,41,udp
name,42,udp
nicname,43,udp
mpm-flags,44,udp
mpm,45,udp
mpm-snd,46,udp
auditd,48,udp
tacacs,49,udp
re-mail-ck,50,udp
xns-time,52,udp
domain,53,udp
xns-ch,54,udp
isi-gl,55,udp
xns-auth,56,udp
xns-mail,58,udp
acas,62,udp
whoispp,63,udp
covia,64,udp
tacacs-ds,65,udp
sql-net,66,udp
bootps,67,udp
bootpc,68,udp
tftp,69,udp
gopher,70,udp
netrjs-1,71,udp
netrjs-2,72,udp
netrjs-3,73,udp
netrjs-4,74,udp
deos,76,udp
vettcp,78,udp
finger,79,udp
http,80,udp
xfer,82,udp
mit-ml-dev,83,udp
ctf,84,udp
mit-ml-dev,85,udp
mfcobol,86,udp
kerberos,88,udp
su-mit-tg,89,udp
dnsix,90,udp
mit-dov,91,udp
npp,92,udp
dcp,93,udp
objcall,94,udp
supdup,95,udp
dixie,96,udp
swift-rvf,97,udp
tacnews,98,udp
metagram,99,udp
hostname,101,udp
iso-tsap,102,udp
gppitnp,103,udp
acr-nema,104,udp
cso,105,udp
3com-tsmux,106,udp
rtelnet,107,udp
snagas,108,udp
pop2,109,udp
pop3,110,udp
sunrpc,111,udp
mcidas,112,udp
auth,113,udp
sftp,115,udp
ansanotify,116,udp
uucp-path,117,udp
sqlserv,118,udp
nntp,119,udp
cfdptkt,120,udp
erpc,121,udp
smakynet,122,udp
ntp,123,udp
ansatrader,124,udp
locus-map,125,udp
nxedit,126,udp
locus-con,127,udp
gss-xlicen,128,udp
pwdgen,129,udp
cisco-fna,130,udp
cisco-tna,131,udp
cisco-sys,132,udp
statsrv,133,udp
ingres-net,134,udp
epmap,135,udp
profile,136,udp
netbios-ns,137,udp
netbios-dgm,138,udp
netbios-ssn,139,udp
emfis-data,140,udp
emfis-cntl,141,udp
bl-idm,142,udp
uma,144,udp
uaac,145,udp
iso-tp0,146,udp
iso-ip,147,udp
jargon,148,udp
aed-512,149,udp
sql-net,150,udp
hems,151,udp
bftp,152,udp
sgmp,153,udp
netsc-prod,154,udp
netsc-dev,155,udp
sqlsrv,156,udp
knet-cmp,157,udp
pcmail-srv,158,udp
nss-routing,159,udp
sgmp-traps,160,udp
snmp,161,udp
snmptrap,162,udp
cmip-man,163,udp
cmip-agent,164,udp
xns-courier,165,udp
s-net,166,udp
namp,167,udp
rsvd,168,udp
send,169,udp
print-srv,170,udp
multiplex,171,udp
cl-1,172,udp
xyplex-mux,173,udp
mailq,174,udp
vmnet,175,udp
genrad-mux,176,udp
xdmcp,177,udp
nextstep,178,udp
bgp,179,udp
ris,180,udp
unify,181,udp
audit,182,udp
ocbinder,183,udp
ocserver,184,udp
remote-kis,185,udp
kis,186,udp
aci,187,udp
mumps,188,udp
qft,189,udp
gacp,190,udp
prospero,191,udp
osu-nms,192,udp
srmp,193,udp
irc,194,udp
dn6-nlm-aud,195,udp
dn6-smm-red,196,udp
dls,197,udp
dls-mon,198,udp
smux,199,udp
src,200,udp
at-rtmp,201,udp
at-nbp,202,udp
at-3,203,udp
at-echo,204,udp
at-5,205,udp
at-zis,206,udp
at-7,207,udp
at-8,208,udp
qmtp,209,udp
z39-50,210,udp
914c-g,211,udp
anet,212,udp
ipx,213,udp
vmpwscs,214,udp
softpc,215,udp
CAIlic,216,udp
dbase,217,udp
mpp,218,udp
uarps,219,udp
imap3,220,udp
fln-spx,221,udp
rsh-spx,222,udp
cdc,223,udp
masqdialer,224,udp
direct,242,udp
sur-meas,243,udp
inbusiness,244,udp
link,245,udp
dsp3270,246,udp
subntbcst-tftp,247,udp
bhfhs,248,udp
rap,256,udp
set,257,udp
esro-gen,259,udp
openport,260,udp
nsiiops,261,udp
arcisdms,262,udp
hdap,263,udp
bgmp,264,udp
x-bone-ctl,265,udp
sst,266,udp
td-service,267,udp
td-replica,268,udp
manet,269,udp
gist,270,udp
http-mgmt,280,udp
personal-link,281,udp
cableport-ax,282,udp
rescap,283,udp
corerjd,284,udp
fxp,286,udp
k-block,287,udp
novastorbakcup,308,udp
entrusttime,309,udp
bhmds,310,udp
asip-webadmin,311,udp
vslmp,312,udp
magenta-logic,313,udp
opalis-robot,314,udp
dpsi,315,udp
decauth,316,udp
zannet,317,udp
pkix-timestamp,318,udp
ptp-event,319,udp
ptp-general,320,udp
pip,321,udp
rtsps,322,udp
texar,333,udp
pdap,344,udp
pawserv,345,udp
zserv,346,udp
fatserv,347,udp
csi-sgwp,348,udp
mftp,349,udp
matip-type-a,350,udp
matip-type-b,351,udp
dtag-ste-sb,352,udp
ndsauth,353,udp
bh611,354,udp
datex-asn,355,udp
cloanto-net-1,356,udp
bhevent,357,udp
shrinkwrap,358,udp
scoi2odialog,360,udp
semantix,361,udp
srssend,362,udp
rsvp-tunnel,363,udp
aurora-cmgr,364,udp
dtk,365,udp
odmr,366,udp
mortgageware,367,udp
qbikgdp,368,udp
rpc2portmap,369,udp
codaauth2,370,udp
clearcase,371,udp
ulistproc,372,udp
legent-1,373,udp
legent-2,374,udp
hassle,375,udp
nip,376,udp
tnETOS,377,udp
dsETOS,378,udp
is99c,379,udp
is99s,380,udp
hp-collector,381,udp
hp-managed-node,382,udp
hp-alarm-mgr,383,udp
arns,384,udp
ibm-app,385,udp
asa,386,udp
aurp,387,udp
unidata-ldm,388,udp
ldap,389,udp
uis,390,udp
synotics-relay,391,udp
synotics-broker,392,udp
meta5,393,udp
embl-ndt,394,udp
netcp,395,udp
netware-ip,396,udp
mptn,397,udp
kryptolan,398,udp
iso-tsap-c2,399,udp
osb-sd,400,udp
ups,401,udp
genie,402,udp
decap,403,udp
nced,404,udp
ncld,405,udp
imsp,406,udp
timbuktu,407,udp
prm-sm,408,udp
prm-nm,409,udp
decladebug,410,udp
rmt,411,udp
synoptics-trap,412,udp
smsp,413,udp
infoseek,414,udp
bnet,415,udp
silverplatter,416,udp
onmux,417,udp
hyper-g,418,udp
ariel1,419,udp
smpte,420,udp
ariel2,421,udp
ariel3,422,udp
opc-job-start,423,udp
opc-job-track,424,udp
icad-el,425,udp
smartsdp,426,udp
svrloc,427,udp
ocs-cmu,428,udp
ocs-amu,429,udp
utmpsd,430,udp
utmpcd,431,udp
iasd,432,udp
nnsp,433,udp
mobileip-agent,434,udp
mobilip-mn,435,udp
dna-cml,436,udp
comscm,437,udp
dsfgw,438,udp
dasp,439,udp
sgcp,440,udp
decvms-sysmgt,441,udp
cvc-hostd,442,udp
https,443,udp
snpp,444,udp
microsoft-ds,445,udp
ddm-rdb,446,udp
ddm-dfm,447,udp
ddm-ssl,448,udp
as-servermap,449,udp
tserver,450,udp
sfs-smp-net,451,udp
sfs-config,452,udp
creativeserver,453,udp
contentserver,454,udp
creativepartnr,455,udp
macon-udp,456,udp
scohelp,457,udp
appleqtc,458,udp
ampr-rcmd,459,udp
skronk,460,udp
datasurfsrv,461,udp
datasurfsrvsec,462,udp
alpes,463,udp
kpasswd,464,udp
igmpv3lite,465,udp
digital-vrc,466,udp
mylex-mapd,467,udp
photuris,468,udp
rcp,469,udp
scx-proxy,470,udp
mondex,471,udp
ljk-login,472,udp
hybrid-pop,473,udp
tn-tl-w2,474,udp
tcpnethaspsrv,475,udp
tn-tl-fd1,476,udp
ss7ns,477,udp
spsc,478,udp
iafserver,479,udp
iafdbase,480,udp
ph,481,udp
bgs-nsi,482,udp
ulpnet,483,udp
integra-sme,484,udp
powerburst,485,udp
avian,486,udp
saft,487,udp
gss-http,488,udp
nest-protocol,489,udp
micom-pfs,490,udp
go-login,491,udp
ticf-1,492,udp
ticf-2,493,udp
pov-ray,494,udp
intecourier,495,udp
pim-rp-disc,496,udp
retrospect,497,udp
siam,498,udp
iso-ill,499,udp
isakmp,500,udp
stmf,501,udp
mbap,502,udp
intrinsa,503,udp
citadel,504,udp
mailbox-lm,505,udp
ohimsrv,506,udp
crs,507,udp
xvttp,508,udp
snare,509,udp
fcp,510,udp
passgo,511,udp
comsat,512,udp
who,513,udp
syslog,514,udp
printer,515,udp
videotex,516,udp
talk,517,udp
ntalk,518,udp
utime,519,udp
router,520,udp
ripng,521,udp
ulp,522,udp
ibm-db2,523,udp
ncp,524,udp
timed,525,udp
tempo,526,udp
stx,527,udp
custix,528,udp
irc-serv,529,udp
courier,530,udp
conference,531,udp
netnews,532,udp
netwall,533,udp
windream,534,udp
iiop,535,udp
opalis-rdv,536,udp
nmsp,537,udp
gdomap,538,udp
apertus-ldp,539,udp
uucp,540,udp
uucp-rlogin,541,udp
commerce,542,udp
klogin,543,udp
kshell,544,udp
appleqtcsrvr,545,udp
dhcpv6-client,546,udp
dhcpv6-server,547,udp
afpovertcp,548,udp
idfp,549,udp
new-rwho,550,udp
cybercash,551,udp
devshr-nts,552,udp
pirp,553,udp
rtsp,554,udp
dsf,555,udp
remotefs,556,udp
openvms-sysipc,557,udp
sdnskmp,558,udp
teedtap,559,udp
rmonitor,560,udp
monitor,561,udp
chshell,562,udp
nntps,563,udp
9pfs,564,udp
whoami,565,udp
streettalk,566,udp
banyan-rpc,567,udp
ms-shuttle,568,udp
ms-rome,569,udp
meter,570,udp
meter,571,udp
sonar,572,udp
banyan-vip,573,udp
ftp-agent,574,udp
vemmi,575,udp
ipcd,576,udp
vnas,577,udp
ipdd,578,udp
decbsrv,579,udp
sntp-heartbeat,580,udp
bdp,581,udp
scc-security,582,udp
philips-vc,583,udp
keyserver,584,udp
password-chg,586,udp
submission,587,udp
cal,588,udp
eyelink,589,udp
tns-cml,590,udp
http-alt,591,udp
eudora-set,592,udp
http-rpc-epmap,593,udp
tpip,594,udp
cab-protocol,595,udp
smsd,596,udp
ptcnameservice,597,udp
sco-websrvrmg3,598,udp
acp,599,udp
ipcserver,600,udp
syslog-conn,601,udp
xmlrpc-beep,602,udp
idxp,603,udp
tunnel,604,udp
soap-beep,605,udp
urm,606,udp
nqs,607,udp
sift-uft,608,udp
npmp-trap,609,udp
npmp-local,610,udp
npmp-gui,611,udp
hmmp-ind,612,udp
hmmp-op,613,udp
sshell,614,udp
sco-inetmgr,615,udp
sco-sysmgr,616,udp
sco-dtmgr,617,udp
dei-icda,618,udp
compaq-evm,619,udp
sco-websrvrmgr,620,udp
escp-ip,621,udp
collaborator,622,udp
asf-rmcp,623,udp
cryptoadmin,624,udp
dec-dlm,625,udp
asia,626,udp
passgo-tivoli,627,udp
qmqp,628,udp
3com-amp3,629,udp
rda,630,udp
ipp,631,udp
bmpp,632,udp
servstat,633,udp
ginad,634,udp
rlzdbase,635,udp
ldaps,636,udp
lanserver,637,udp
mcns-sec,638,udp
msdp,639,udp
entrust-sps,640,udp
repcmd,641,udp
esro-emsdp,642,udp
sanity,643,udp
dwr,644,udp
pssc,645,udp
ldp,646,udp
dhcp-failover,647,udp
rrp,648,udp
cadview-3d,649,udp
obex,650,udp
ieee-mms,651,udp
hello-port,652,udp
repscmd,653,udp
aodv,654,udp
tinc,655,udp
spmp,656,udp
rmc,657,udp
tenfold,658,udp
mac-srvr-admin,660,udp
hap,661,udp
pftp,662,udp
purenoise,663,udp
asf-secure-rmcp,664,udp
sun-dr,665,udp
mdqs,666,udp
disclose,667,udp
mecomm,668,udp
meregister,669,udp
vacdsm-sws,670,udp
vacdsm-app,671,udp
vpps-qua,672,udp
cimplex,673,udp
acap,674,udp
dctp,675,udp
vpps-via,676,udp
vpp,677,udp
ggf-ncp,678,udp
mrm,679,udp
entrust-aaas,680,udp
entrust-aams,681,udp
xfr,682,udp
corba-iiop,683,udp
corba-iiop-ssl,684,udp
mdc-portmapper,685,udp
hcp-wismar,686,udp
asipregistry,687,udp
realm-rusd,688,udp
nmap,689,udp
vatp,690,udp
msexch-routing,691,udp
hyperwave-isp,692,udp
connendp,693,udp
ha-cluster,694,udp
ieee-mms-ssl,695,udp
rushd,696,udp
uuidgen,697,udp
olsr,698,udp
accessnetwork,699,udp
epp,700,udp
lmp,701,udp
iris-beep,702,udp
elcsd,704,udp
agentx,705,udp
silc,706,udp
borland-dsj,707,udp
entrust-kmsh,709,udp
entrust-ash,710,udp
cisco-tdp,711,udp
tbrpf,712,udp
iris-xpc,713,udp
iris-xpcs,714,udp
iris-lwz,715,udp
pana,716,udp
netviewdm1,729,udp
netviewdm2,730,udp
netviewdm3,731,udp
netgw,741,udp
netrcs,742,udp
flexlm,744,udp
fujitsu-dev,747,udp
ris-cm,748,udp
kerberos-adm,749,udp
loadav,750,udp
pump,751,udp
qrh,752,udp
rrh,753,udp
tell,754,udp
nlogin,758,udp
con,759,udp
ns,760,udp
rxe,761,udp
quotad,762,udp
cycleserv,763,udp
omserv,764,udp
webster,765,udp
phonebook,767,udp
vid,769,udp
cadlock,770,udp
rtip,771,udp
cycleserv2,772,udp
notify,773,udp
acmaint-dbd,774,udp
acmaint-transd,775,udp
wpages,776,udp
multiling-http,777,udp
wpgs,780,udp
mdbs-daemon,800,udp
device,801,udp
mbap-s,802,udp
fcp-udp,810,udp
itm-mcell-s,828,udp
pkix-3-ca-ra,829,udp
netconf-ssh,830,udp
dhcp-failover2,847,udp
gdoi,848,udp
domain-s,853,udp
dlep,854,udp
iscsi,860,udp
owamp-test,861,udp
twamp-test,862,udp
rsync,873,udp
iclcnet-locate,886,udp
iclcnet-svinfo,887,udp
accessbuilder,888,udp
omginitialrefs,900,udp
smpnameres,901,udp
ideafarm-door,902,udp
ideafarm-panic,903,udp
kink,910,udp
xact-backup,911,udp
apex-mesh,912,udp
apex-edge,913,udp
rift-lies,914,udp
rift-ties,915,udp
ftps-data,989,udp
ftps,990,udp
nas,991,udp
telnets,992,udp
pop3s,995,udp
vsinet,996,udp
maitrd,997,udp
puparp,998,udp
applix,999,udp
cadlock2,1000,udp
surf,1010,udp
exp1,1021,udp
exp2,1022,udp
blackjack,1025,udp
cap,1026,udp
6a44,1027,udp
solid-mux,1029,udp
netinfo-local,1033,udp
activesync,1034,udp
mxxrlogin,1035,udp
nsstp,1036,udp
ams,1037,udp
mtqp,1038,udp
sbl,1039,udp
netarx,1040,udp
danf-ak2,1041,udp
afrog,1042,udp
boinc-client,1043,udp
dcutility,1044,udp
fpitp,1045,udp
wfremotertm,1046,udp
neod1,1047,udp
neod2,1048,udp
td-postman,1049,udp
cma,1050,udp
optima-vnet,1051,udp
ddt,1052,udp
remote-as,1053,udp
brvread,1054,udp
ansyslmd,1055,udp
vfo,1056,udp
startron,1057,udp
nim,1058,udp
nimreg,1059,udp
polestar,1060,udp
kiosk,1061,udp
veracity,1062,udp
kyoceranetdev,1063,udp
jstel,1064,udp
syscomlan,1065,udp
fpo-fns,1066,udp
instl-boots,1067,udp
instl-bootc,1068,udp
cognex-insight,1069,udp
gmrupdateserv,1070,udp
bsquare-voip,1071,udp
cardax,1072,udp
bridgecontrol,1073,udp
warmspotMgmt,1074,udp
rdrmshc,1075,udp
dab-sti-c,1076,udp
imgames,1077,udp
avocent-proxy,1078,udp
asprovatalk,1079,udp
socks,1080,udp
pvuniwien,1081,udp
amt-esd-prot,1082,udp
ansoft-lm-1,1083,udp
ansoft-lm-2,1084,udp
webobjects,1085,udp
cplscrambler-lg,1086,udp
cplscrambler-in,1087,udp
cplscrambler-al,1088,udp
ff-annunc,1089,udp
ff-fms,1090,udp
ff-sm,1091,udp
obrpd,1092,udp
proofd,1093,udp
rootd,1094,udp
nicelink,1095,udp
cnrprotocol,1096,udp
sunclustermgr,1097,udp
rmiactivation,1098,udp
rmiregistry,1099,udp
mctp,1100,udp
pt2-discover,1101,udp
adobeserver-1,1102,udp
adobeserver-2,1103,udp
xrl,1104,udp
ftranhc,1105,udp
isoipsigport-1,1106,udp
isoipsigport-2,1107,udp
ratio-adp,1108,udp
nfsd-keepalive,1110,udp
lmsocialserver,1111,udp
icp,1112,udp
ltp-deepspace,1113,udp
mini-sql,1114,udp
ardus-trns,1115,udp
ardus-cntl,1116,udp
ardus-mtrns,1117,udp
sacred,1118,udp
bnetgame,1119,udp
bnetfile,1120,udp
rmpp,1121,udp
availant-mgr,1122,udp
murray,1123,udp
hpvmmcontrol,1124,udp
hpvmmagent,1125,udp
hpvmmdata,1126,udp
kwdb-commn,1127,udp
saphostctrl,1128,udp
saphostctrls,1129,udp
casp,1130,udp
caspssl,1131,udp
kvm-via-ip,1132,udp
dfn,1133,udp
aplx,1134,udp
omnivision,1135,udp
hhb-gateway,1136,udp
trim,1137,udp
encrypted-admin,1138,udp
evm,1139,udp
autonoc,1140,udp
mxomss,1141,udp
edtools,1142,udp
imyx,1143,udp
fuscript,1144,udp
x9-icue,1145,udp
audit-transfer,1146,udp
capioverlan,1147,udp
elfiq-repl,1148,udp
bvtsonar,1149,udp
blaze,1150,udp
unizensus,1151,udp
winpoplanmess,1152,udp
c1222-acse,1153,udp
resacommunity,1154,udp
nfa,1155,udp
iascontrol-oms,1156,udp
iascontrol,1157,udp
dbcontrol-oms,1158,udp
oracle-oms,1159,udp
olsv,1160,udp
health-polling,1161,udp
health-trap,1162,udp
sddp,1163,udp
qsm-proxy,1164,udp
qsm-gui,1165,udp
qsm-remote,1166,udp
cisco-ipsla,1167,udp
vchat,1168,udp
tripwire,1169,udp
atc-lm,1170,udp
atc-appserver,1171,udp
dnap,1172,udp
d-cinema-rrp,1173,udp
fnet-remote-ui,1174,udp
dossier,1175,udp
indigo-server,1176,udp
dkmessenger,1177,udp
sgi-storman,1178,udp
b2n,1179,udp
mc-client,1180,udp
3comnetman,1181,udp
accelenet-data,1182,udp
llsurfup-http,1183,udp
llsurfup-https,1184,udp
catchpole,1185,udp
mysql-cluster,1186,udp
alias,1187,udp
hp-webadmin,1188,udp
unet,1189,udp
commlinx-avl,1190,udp
gpfs,1191,udp
caids-sensor,1192,udp
fiveacross,1193,udp
openvpn,1194,udp
rsf-1,1195,udp
netmagic,1196,udp
carrius-rshell,1197,udp
cajo-discovery,1198,udp
dmidi,1199,udp
scol,1200,udp
nucleus-sand,1201,udp
caiccipc,1202,udp
ssslic-mgr,1203,udp
ssslog-mgr,1204,udp
accord-mgc,1205,udp
anthony-data,1206,udp
metasage,1207,udp
seagull-ais,1208,udp
ipcd3,1209,udp
eoss,1210,udp
groove-dpp,1211,udp
lupa,1212,udp
mpc-lifenet,1213,udp
kazaa,1214,udp
scanstat-1,1215,udp
etebac5,1216,udp
hpss-ndapi,1217,udp
aeroflight-ads,1218,udp
aeroflight-ret,1219,udp
qt-serveradmin,1220,udp
sweetware-apps,1221,udp
nerv,1222,udp
tgp,1223,udp
vpnz,1224,udp
slinkysearch,1225,udp
stgxfws,1226,udp
dns2go,1227,udp
florence,1228,udp
zented,1229,udp
periscope,1230,udp
menandmice-lpm,1231,udp
first-defense,1232,udp
univ-appserver,1233,udp
search-agent,1234,udp
mosaicsyssvc1,1235,udp
bvcontrol,1236,udp
tsdos390,1237,udp
hacl-qs,1238,udp
nmsd,1239,udp
instantia,1240,udp
nessus,1241,udp
nmasoverip,1242,udp
serialgateway,1243,udp
isbconference1,1244,udp
isbconference2,1245,udp
payrouter,1246,udp
visionpyramid,1247,udp
hermes,1248,udp
mesavistaco,1249,udp
swldy-sias,1250,udp
servergraph,1251,udp
bspne-pcc,1252,udp
q55-pcc,1253,udp
de-noc,1254,udp
de-cache-query,1255,udp
de-server,1256,udp
shockwave2,1257,udp
opennl,1258,udp
opennl-voice,1259,udp
ibm-ssd,1260,udp
mpshrsv,1261,udp
qnts-orb,1262,udp
dka,1263,udp
prat,1264,udp
dssiapi,1265,udp
dellpwrappks,1266,udp
epc,1267,udp
